"n","time","O(log(n))","17.54466440899","O(sqrt(n))","2.3291935425499","O(n^2)","2.28E-5","O(n^3)","1.23E-8","O(n^5)","3.54E-15","O((n^5)*log(n))","3.26E-16","O((n^2)*log(n))","2.10E-6","O((n^3)*log(n))","1.14E-9","",""
"100","0.044","6.6438561897747","13576.963354007","10","540.46650154816","10000","0.033980885427702","1000000","0.0010021153007709","10000000000","0.0019328845243045","66438561897.747","0.0019340970790605","66438.561897747","0.0091421839340962","6643856.1897747","0.0013284082040865","",""
"200","0.225","7.6438561897747","17924.896440718","14.142135623731","1070.2562397935","40000","0.47383425916583","8000000","0.015938971146083","320000000000","0.050116274118882","2446033980727.9","0.050267290561229","305754.24759099","0.17431922597605","61150849.518198","0.024175386843865","",""
"300","0.653","8.2288186904959","20655.111411611","17.320508075689","1575.2814594708","90000","1.9657482734304","27000000","0.10221929830577","2430000000000","0.4152430793389","19996029417905","0.41794956457729","740593.68214463","0.81593679157494","222178104.64339","0.16034441253327","",""
"400","1.3","8.6438561897747","22606.191816629","20","2050.6289592498","160000","5.5386083041257","64000000","0.26009704773498","10240000000000","1.5970200725598","88513087383293","1.6159090315196","1383016.990364","2.5801612166557","553206796.14558","0.45040255695539","",""
"500","2.26","8.9657842846621","24037.92143264","22.360679774998","2482.266653084","250000","11.891988480861","125000000","0.51412570661405","31250000000000","4.6195793189842","2.8018075889569E+14","4.703631426067","2241446.0711655","6.0034844530824","1120723035.5828","0.97214458133347","",""
"600","3.55","9.2288186904959","25079.956815814","24.494897427832","2862.6092011019","360000","21.810822280751","216000000","0.78099679668033","77760000000000","10.722968458106","7.1763294137296E+14","10.998315813191","3322374.7285785","11.776406899855","1993424837.1471","1.6483883277729","",""
"700","5.59","9.4512111118323","25673.116842313","26.457513110646","3139.8840951135","490000","31.344472670861","343000000","1.8389481873107","168070000000000","24.947427376032","1.5884650515657E+15","25.733979367806","4631093.4447978","17.154786775939","3241765411.3585","3.6282455969727","",""
"800","7.87","9.6438561897747","26026.794716195","28.284271247462","3365.1069567055","640000","45.477479070528","512000000","2.4024282197712","327680000000000","45.016626058945","3.1600987962654E+15","46.802201788558","6172067.9614558","26.01056668131","4937654369.1647","5.0937186666886","",""
"900","10.4","9.813781191217","26172.605838259","30","3537.3715322393","810000","65.536522252878","729000000","1.9638470730877","590490000000000","69.03347695381","5.7949396556017E+15","72.478445891153","7949162.7648858","39.746257383549","7154246488.3972","5.1398710864833","",""
"1000","14.6","9.9657842846621","25678.889754782","31.622776601684","3487.5600005584","1000000","67.7971918742","1000000000","5.0904599877422","1000000000000000","122.28514220552","9.9657842846621E+15","128.94936342197","9965784.2846621","40.223694383388","9965784284.6621","10.699454054724","",""
"1100","18.5","10.103287808412","25204.354680598","33.166247903554","3451.6342279617","1210000","83.339098799763","1331000000","4.286591588024","1610510000000000","163.73747140351","1.6271446048326E+16","174.31251469172","12224978.248179","51.691955576886","13447476072.996","10.323700925337","",""
"1200","23.6","10.228818690496","24292.710930123","34.641016151378","3258.7692811855","1440000","86.133679797447","1728000000","5.1525452123101","2488320000000000","218.65598032408","2.5452574123935E+16","234.51194047813","14729498.914314","54.0627959137","17675398697.177","12.297604168744","",""
"1300","29.6","10.344295907916","23069.72160029","36.05551275464","2957.2134913521","1690000","80.807505201732","2197000000","6.1537826451613","3712930000000000","270.59499881065","3.8407646605378E+16","292.27977292981","17481860.084378","50.930839072295","22726418109.691","14.174085283457","",""
"1400","38.2","10.451211111832","21072.294137404","37.416573867739","2396.1457952056","1960000","42.96086512368","2744000000","18.737002209974","5378240000000000","366.78681104705","5.6209121650101E+16","396.0430103013","20484373.779191","23.484702930366","28678123290.868","31.348949242517","",""
"1500","44.1","10.550746785383","19883.625961791","38.729833462074","2126.0655180405","2250000","52.944342238491","3375000000","5.9520927433434","7593750000000000","296.00932317673","8.0119733401504E+16","324.59808883159","23739180.267112","33.47536731856","35608770400.668","13.106767747244","",""
"1600","52.5","10.643856189775","18021.152137453","40","1653.8652151402","2560000","35.45960553132","4096000000","3.7628813004613","10485760000000000","235.99650191457","1.1160892148049E+17","261.31167633439","27248271.845823","22.656039379684","43597234953.317","8.6384566045647","",""
"1700","62","10.731319031025","15945.979494218","41.231056256177","1158.38871165","2890000","15.919984346599","4913000000","1.8358463087746","14198570000000000","137.17971993549","1.5236938445434E+17","153.6448974348","31013511.999662","10.062571238885","52722970399.426","4.264579192188","",""
"1800","71","10.813781191217","14095.426640737","42.426406871193","773.91417122826","3240000","8.8914429241869","5832000000","0.97814819946015","18895680000000000","16.617348563744","2.0433374897926E+17","20.053289582402","35036651.059543","6.8981184113671","63065971907.178","0.4798731746623","",""
"1900","85","10.891783703218","11255.658847728","43.588989435407","273.14809917837","3610000","6.6028589543085","6859000000","0.11149492193976","24760990000000000","7.2735792140018","2.6969134735755E+17","7.8367223032373","39319339.168618","5.6353174560918","74706744420.374","0.0055003481804059","",""
"MSE","","","21067.019623859","","2218.9776899898","","34.99631743525","","3.1547604491127","","104.81796142483","","113.49178476736","","21.231182278584","","6.4451363034424","",""
"","","","","","","","","","","","","","","","","","","",""
"Độ phức tạp: O(n^3)","","","","","","","","","","","","","","","","","","",""
