Size,Time(s),log(n),29.39818379,n,5.64164446,n*log(n),1.22052843,n^2,0.28098179,n^3,0.01542474,2^n,0.00018283,n!,7.55E-17
3,2.67E-05,1.584962501,2171.093298,3,286.4524661,4.754887502,33.68001656,9,6.394877032,27,0.17342334,8,2.06E-06,6,7.13E-10
4,4.82E-05,2,3457.007173,4,509.24826,8,95.33919623,16,20.21096279,64,0.974435824,16,8.28E-06,24,2.32E-09
5,0.000148149,2.321928095,4659.471386,5,795.6954473,11.60964047,200.7817616,25,49.34214761,125,3.716969421,32,3.25E-05,120,2.19E-08
6,0.000270607,2.584962501,5774.925726,6,1145.79516,15.509775,358.3392486,36,102.3147186,216,11.0987139,64,0.000130657,720,7.32E-08
7,0.000863663,2.807354922,6811.245846,7,1559.511244,19.65148445,575.2481721,49,189.5370086,343,27.98221845,128,0.000507987,5040,7.46E-07
8,0.006756303,3,7777.087199,8,2036.391921,24,857.6654627,64,323.1393895,512,62.26331341,256,0.001603856,40320,4.56E-05
9,0.008194767,3.169925001,8682.85587,9,2577.248221,28.52932501,1211.921122,81,517.6230269,729,126.2575994,512,0.007295584,362880,6.72E-05
10,0.023321467,3.321928095,9532.657899,10,3180.184337,33.21928095,1642.012657,100,788.1976255,1000,237.2036928,1024,0.026862047,3628800,0.000543891
11,0.014837329,3.459431619,10340.07701,11,3849.365085,38.05374781,2155.82325,121,1154.909487,1331,420.885396,2048,0.129311089,39916800,0.000220146
12,0.131416315,3.584962501,11079.66132,12,4565.47749,43.01955001,2743.158172,144,1626.50579,1728,703.4448313,4096,0.381251128,479001600,0.017270238
13,0.045616105,3.700439718,11824.51609,13,5372.268709,48.10571634,3442.025551,169,2250.582672,2197,1145.317356,8192,2.108673565,6227020800,0.002080786
14,2.248131404,3.807354922,12029.96308,14,5888.243502,53.30296891,3945.053082,196,2790.406611,2744,1606.194396,16384,0.558539968,87178291200,5.054065234
15,1.20852488,3.906890596,12915.63218,15,6958.25275,58.60335893,4944.697179,225,3845.535009,3375,2585.719715,32768,22.87181423,1.31E+12,1.460293908
16,11.36761838,4,11283.77543,16,6225.003754,64,4455.055367,256,3667.964163,4096,2684.495433,65536,0.377399506,2.09E+13,129.1868581
17,17.2331671,4.087462841,10594.75304,17,6189.72238,69.4868683,4566.722719,289,4092.233853,4913,3427.936281,131072,45.30268137,3.56E+14,296.0577659
18,20.77236633,4.169925001,10366.46838,18,6524.961525,75.05865003,5018.142661,324,4937.273323,5832,4786.525115,262144,737.4169,6.40E+15,411.6550802
19,112.9310176,4.247927513,142.8105345,19,32.94499248,80.71062276,207.9770065,361,132.171614,6859,50.87577934,524288,291.5707386,1.22E+17,10764.57497
20,187.7113166,4.321928095,3678.965961,20,5606.77889,86.4385619,6758.581824,400,5672.891596,8000,4136.212982,1048576,15.99866787,2.43E+18,17.14257094
MSE,,,7951.275968,,3516.863674,,2400.679136,,1787.068549,,1223.182092,,62.04180113,,645.8417685
,,,,,,,,,,,,,,,
Độ phức tạp của Branch and bound là O(2^n),,,,,,,,,,,,,,,
